id,primary_id,title,max_grade,sort_order
21,5,أولاً. مدير المنطقة الأمنية,40.00,0
22,5,ثانياً. معاون شؤون العمليات,25.00,1
23,5,ثالثاً. معاون الشؤون الفنية,15.00,2
24,5,رابعاً. معاون الشؤون الإدارية,20.00,3
25,5,خامساً. الاتصالات,25.00,4
26,5,سادسا. التدريب,25.00,5
27,5,سابعاً. الجانب الفني,25.00,6
28,5,ثامناً. الجانب الإداري,25.00,7
29,6,أولاً. قاطع النجدة,20.00,0
30,6,ثانياً. قاطع المرور,20.00,1
31,6,ثالثاً. الدفاع المدني,20.00,2
32,6,رابعاً. الشرطة النهرية,20.00,3
33,6,خامساً. الدوائر التحقيقية (مراكز الشرطة ومكاتب مكافحة الاجرام),20.00,4
34,6,سادساً. قسم المخدرات والمؤثرات العقلية,20.00,5
35,6,سابعاً. الاستخبارات,20.00,6
36,6,ثامناً. الاستعداد القتالي (قوة الاحتياط),20.00,7
37,6,تاسعاً. السيطرات الأمنية,20.00,8
38,6,عاشراً. الاحوال المدنية والجوازات والإقامة,20.00,9
39,6,حادي عشر. حماية المنشآت,20.00,10
40,6,ثاني عشر. تفتيش لجنة ارزاق (فوج، سيطرة، قسم شرطة ... الخ),20.00,11
41,5,مدى الانفتاح على المواطنين وكسب ثقتهم، والتعامل الإنساني مع المراجعين والمشتبه بهم.,1.90,0
